simulation,faulted_line,first_cascade_time,first_cascade_component,first_cascade_reason,num_cascade_events
Line 06 - 11_load=0.9389_wind=0.9752_0.0296_0.0582,Line 06 - 11,3.1,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9389_wind=0.9752_0.0296_0.0582,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9389_wind=0.9752_0.0296_0.0582,Line 08 - 09,1.95,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9389_wind=0.9752_0.0296_0.0582,Line 09 - 39,2.11,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9389_wind=0.9752_0.0296_0.0582,Line 10 - 11,3.08,Line 01 - 39DR2,,4
Line 10 - 13_load=0.9389_wind=0.9752_0.0296_0.0582,Line 10 - 13,1.47,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9389_wind=0.9752_0.0296_0.0582,Line 13 - 14,1.47,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9389_wind=0.9752_0.0296_0.0582,Line 15 - 16,2.05,NSG_2,OverVoltage,4
Line 16 - 17_load=0.9389_wind=0.9752_0.0296_0.0582,Line 16 - 17,2.27,NSG_2,OverVoltage,17
Line 16 - 19_load=0.9389_wind=0.9752_0.0296_0.0582,Line 16 - 19,1.79,G 05,Over-Speed,17
Line 16 - 21_load=0.9389_wind=0.9752_0.0296_0.0582,Line 16 - 21,2.14,NSG_2,OverVoltage,18
Line 16 - 24_load=0.9389_wind=0.9752_0.0296_0.0582,Line 16 - 24,2.11,NSG_2,OverVoltage,1
Line 17 - 18_load=0.9389_wind=0.9752_0.0296_0.0582,Line 17 - 18,2.11,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9389_wind=0.9752_0.0296_0.0582,Line 21 - 22,2.05,Line 23 - 24DR2,,57
Line 22 - 23_load=0.9389_wind=0.9752_0.0296_0.0582,Line 22 - 23,2.18,NSG_2,OverVoltage,1
Line 23 - 24_load=0.9389_wind=0.9752_0.0296_0.0582,Line 23 - 24,2.24,NSG_2,OverVoltage,1
Line 25 - 26_load=0.9389_wind=0.9752_0.0296_0.0582,Line 25 - 26,2.18,NSG_2,OverVoltage,1
Line 26 - 28_load=0.9389_wind=0.9752_0.0296_0.0582,Line 26 - 28,2.26,NSG_2,OverVoltage,1
Line 26 - 29_load=0.9389_wind=0.9752_0.0296_0.0582,Line 26 - 29,2.45,NSG_2,OverVoltage,18
Line 28 - 29_load=0.9389_wind=0.9752_0.0296_0.0582,Line 28 - 29,1.66,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9411_wind=0.3813_0.4099_0.4656,Line 01 - 02,1.7,Line 08 - 09DR1,,3
Line 01 - 39_load=0.9411_wind=0.3813_0.4099_0.4656,Line 01 - 39,1.85,Line 08 - 09DR1,,4
Line 02 - 25_load=0.9411_wind=0.3813_0.4099_0.4656,Line 02 - 25,2.2,NSG_2,OverVoltage,11
Line 03 - 04_load=0.9411_wind=0.3813_0.4099_0.4656,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9411_wind=0.3813_0.4099_0.4656,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9411_wind=0.3813_0.4099_0.4656,Line 05 - 08,1.47,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9411_wind=0.3813_0.4099_0.4656,Line 06 - 07,1.47,Line 01 - 39DR2,,5
Line 06 - 11_load=0.9411_wind=0.3813_0.4099_0.4656,Line 06 - 11,3.1,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9411_wind=0.3813_0.4099_0.4656,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9411_wind=0.3813_0.4099_0.4656,Line 08 - 09,1.97,Line 01 - 02DR1,,4
